day,from,to,title,speaker,affiliation,type,abstract,bio,youtube,slides
fri,09:00,10:00,Welcome and Mingling,,,break,,,,
fri,10:00,10:20,Opening,FOSSi Foundation team,,talk,,,https://youtu.be/OXCN3JJokcQ,
fri,10:20,11:20,OpenROAD: The journey so far and roadmap,Andrew Kahng,UC San Diego,keynote,"[OpenROAD](https://theopenroadproject.org) is an open-source RTL-to-GDS tool that generates manufacturable layout from a given hardware description – in 24 hours, at advanced foundry nodes. OpenROAD lowers the cost, expertise and schedule barriers to hardware design, thus providing a platform for research, education and system innovation.  This talk will first review highlights and lessons learned from OpenROAD’s 5-year journey since June 2018. The talk will then present current status and challenges, as well as a roadmap for OpenROAD as it seeks to enable VLSI/EDA education, early design space exploration for system designers, research on machine learning in EDA, and more.     ","Andrew B. Kahng is Distinguished Professor of CSE and ECE and holder of the endowed chair in high-performance computing at UC San Diego. He was visiting scientist at Cadence (1995-97) and founder/CTO at Blaze DFM (2004-06). He is coauthor of 3 books and over 500 journal and conference papers, holds 35 issued U.S. patents, and is a fellow of ACM and IEEE. He was the 2019 Ho-Am Prize laureate in Engineering. He has served as general chair of DAC, ISPD and other conferences, and from 2000-2016 served as international chair/co-chair of the International Technology Roadmap for Semiconductors (ITRS) Design and System Drivers working groups. He has been principal investigator of “OpenROAD” (https://theopenroadproject.org/) since June 2018, and until August 2023 served as principal investigator and director of “TILOS” (https://tilos.ai/), a U.S. NSF AI Research Institute.",https://youtu.be/z-yoZuJx2IE,slides/orconf23_kahng.pptx
fri,11:20,11:40,Coffee Break,,,break,,,,
fri,11:40,12:00,Module with CologneChip GateMate FPGA (GMM-7550),Anton Kuzmin,,talk,"Presentation (with a live demo) of the open hardware module, based on the CologneChip GateMate FPGA. Hardware part of the project consists of the FPGA module itself, a small adapter board to host the module on Raspberry-Pi 40-pin GPIO header, a memory (SRAM and SPI) extension module, control software, and design examples. GateMate FPGA designs are synthesized using the Yosys framework, optionally with GHDL Yosys plugin.  All the hardware was designed with KiCAD and released under CERN-OHL-P license. Control software and design examples are released under MIT license.","Anton Kuzmin has thirty years of embedded systems design experience covering hardware, embedded and real-time software, and FPGA development as well as managing projects.
The GMM-7550 module had started as a self-education exercise with a new FPGA vendor and family and as an easy way to get a convenient platform for experiments.",https://youtu.be/h0ak2YDY-Dk,
fri,12:00,12:20,Old School cache coherence - a snooping system for a multicore processor based on CVA6,Massimiliano Giacometti ,PlanV GmbH ,talk,"For many years now the computational power required by modern applications can only be offered by a collection of CPUs working together in a multicore processor. For these CPUs to process information correctly, it is necessary to implement mechanisms which guarantee that each core always uses an up-to-date version of the data: cache coherence protocols have been developed with this purpose. 
Years ago, when silicon technology could support the integration of only a handful of CPUs per chip, cache coherence was achieved by implementing bus snooping mechanisms; nowadays the propensity is to make use of directory-based cache coherence mechanisms, which guarantee excellent scalability, at the expense speed. This trend can be confirmed also by looking at the existing open-source implementations: there is not a single snooping mechanism. This is a problem, because many real-world scenarios would benefit from a low latency cache coherence unit, for example for all processors integrating a limited number of CPUs.
With Culsans our goal is to cover this gap, by developing an open-source, tightly-coupled, low latency cache coherence unit for a quad-core processor based on the popular RISC-V CPU CVA6.
In this presentation we show the architecture and the performance of the proposed implementation.","Founder and Managing Director of PlanV, Massimiliano is a RISC-V and open-source enthusiast: he has been working as hardware designer for his entire career, having contributed to a wide range of projects and products, from signal processing and communication systems to computer architectures.
",https://youtu.be/xdHmt_loIjs,
fri,12:20,12:40,Early performance estimation using virtual prototypes and open-source SW,Rocco Jonack,Minres GmbH,talk,"Virtual Prototypes (VP) enable early software development and verification. In addition, VP models can be extended to provide information for early architectural analysis. Based on SystemC, specifically TLM2 based modeling, VPs can offer simulations of complete hardware platforms with significantly higher speeds and less overhead than RTL simulations. Using productivity libraries has a significant impact on the development effort. But often such productivity libraries are tied into vendor specific tooling. We will show an alternative approach based on open-source libraries. The analysis process can also be significantly eased with the use of open-source analysis packages. We will show how we use open-source Python libraries to analyze results from VP and early architecture simulations.  ","Rocco Jonack received his master's degree in electrical engineering from RWTH Aachen. Over more than 25 years he worked on various aspects of SoC development and architecture with a focus on using higher abstraction levels for architecture, implementation, and verification.",https://youtu.be/8PCbO8rP1GM,
fri,12:40,13:40,Lunch,,,break,,,,
fri,13:40,14:00,Virtual Prototypes and Open Source Hardware Design in Research and Education,Sallar Ahmadi-Pour,"Group of Computer Architecture, University of Bremen",talk,"Virtual Prototypes (VP) enable early software development and verification.
Furthermore, they additionally VPs allow flexible hardware prototyping.
Based on the SystemC hardware modeling language, VPs can offer fast simulations of complete hardware platforms (e.g., System-on-Chip (SoC)) executing bare metal applications, operating systems and more (10x to 100x faster than RTL simulations).
With the Group of Computer Architecture (AGRA) at the University of Bremen, our research focuses on methods and techniques for the design and verification of VP-based Software and Hardware.
To bridge the gap between the VP and the real-world Hardware, methods crossing the abstraction layers (e.g., from the VP to the RTL) is a promising approach for verification.
While utilizing available open source tools, we take part in releasing our tooling as open source to enable further research and offer accessible educational tools (VPs, RTL implementation, verification tools, etc.). 
In this talk, we will give an overview of our recent workaround VPs, design and verification and how open source helps in research and education.","Sallar Ahmadi-Pour received his master's degree in computer science from the University of Bremen, Bremen, Germany, in 2020, where he is currently pursuing his Ph.D. degree with the Research Group of Computer Architecture. His current research interests include the design and verification of embedded systems across multiple levels of abstraction.
",https://youtu.be/2yZOXKhjIe0,slides/orconf23_ahmadipour.pdf
fri,14:00,14:20,RADOPA: Robustifying a Design Against Optical Probing Attacks,Sajjad Parvin,University of Bremen,talk," Recent studies revealed that laser-based side channel attack methods, especially Optical Probing (OP), pose a serious threat to the security of integrated circuits. State-of-the-art countermeasures focus mainly on approaches in the domain of circuit design, and lack appropriate analysis methods that can be employed during design time. Consequently, the actual robustness against OP can only be tested during post-fabrication, which might lead to the necessity of IC redesign. To mitigate this problem, we propose the framework RADOPA that enables already during design time exploring the circuit’s susceptibility against OP. The main elements of this framework are reading layout file, performing logical computation, and performing various OP analysis such as retrieving internal waveform of chips, and creating activity map of area of interest on chip.
The applicability of our framework, namely RADOPA is explored by designing and verifying a cell library and exemplary circuits that are robust against OP attacks. We will demonstrate OP on cell libraries based on a 45nm open-source PDK and its standard cell library, and provide a guide on how to robustify a design against OP attacks. Moreover, we evaluate layout design techniques that can alleviate the OP attacks. We will provide all the explored cell libraries in this work and the core engine to perform OP in order to replicate the results publicly available. As a future plan, we are aiming to make our tool source files publicly available.
","Sajjad Parvin received his B.Sc. degree in electronics engineering from Hormozgan University, Iran, in 2016. Then he joined the ECC group at Istanbul Technical University, Türkiye, where he worked as a TUBITAK researcher and received his M.Sc. degree in electronics engineering in 2020. He is currently pursuing his Ph.D. with the University of Bremen, Germany, in the field of hardware security at the layout level. His current research interests are EDA, AI accelerators, and the design of secure chips.
",https://youtu.be/rfuMcvjtdDw,
