ORConf 2019 Schedule,,,,,,,,
,,,,,,,,
Duration,Start,End,Presenter,Affiliation,Title,Category,Abstract,Confirmed
1:00:00,2019-09-27 11:00,2019-09-27 12:00,,,FOSSi Foundation AGM (FOSSi Foundation Members only),fri,Annual General Meeting of the FOSSi Foundation. This will take place in the ORConf main lecture theatre prior to the event.,
Friday Sept 27 Afternoon,,,,,,,,
0:30:00,2019-09-27 12:00,2019-09-27 12:30,,,"Room open, snacks",fri,,yes
00:30,2019-09-27 12:30,2019-09-27 13:00,ORConf organizers,,Official welcome - FOSSi Foundation update,fri,,yes
00:40:00,2019-09-27 13:00,2019-09-27 13:40,Zvonimir Z Bandic,Western Digital Corporation,Chips Alliance Project,fri,"          <p>
            We have recently launched the <a href=""https://github.com/chipsalliance""
                                             target=""_blank"">CHIPS Alliance project</a>: CHIPS (Common Hardware for
            Interfaces, Processors and Systems) Alliance harnesses the energy of open source
            collaboration to accelerate hardware development. The organization was created to host
            and curate high-quality, open source hardware design relevant to the design of silicon
            devices. By creating a neutral and collaborative environment, CHIPS Alliance intends to
            share resources to lower the cost of development and accelerate the creation of more
            efficient and innovative chip designs – covering the span from small IoT devices to
            large datacenter silicon solutions.
          </p>
          <p>
            As an independent entity, companies and individuals can work together and contribute
            resources to help make open source chips, complex IP blocks and system-on-a-chip (SoC)
            design more accessible to the market.
          </p>
          <p>
            We will describe some of our initial projects, focused on RISC-V cores, design and
            design verification tools and analog IPs, as well as structure of workgroups and
            existing meetings in CHIPS alliance.
          </p>

          <h6>Presenter: <a href=""https://twitter.com/zbandic"" target=""_blank"">Zvonimir Z Bandic</a></h6>
          <p>
            Zvonimir Z. Bandić is the Research Staff Member and Senior Director of Next Generation
            Platform Technologies Department in a Western Digital Corporation in San Jose,
            California. He received his BS in electrical engineering in 1994 from the University of
            Belgrade, Yugoslavia, and his MS (1995) and PhD (1999) in applied physics from Caltech,
            Pasadena, in the field of novel electronic devices based on wide bandgap
            semiconductors. He is currently focusing on emerging Non-Volatile Memories (PCM, ReRAM,
            MRAM) applications for data center distributed computing, including RISC-V based CPU
            technologies , in-memory compute, RDMA networking, and machine learning hardware
            acceleration. He has been awarded over 50 patents in the fields of solid state
            electronics, solid state disk controller technology, security architecture and storage
            systems and has published over 50 peer-reviewed papers. Zvonimir is Chair of CHIPS
            Alliance, Chair of OpenCAPI org, and Board of Directors member of RISC-V standards
            organization.
          </p>
",yes
0:20:00,2019-09-27 13:40,2019-09-27 14:00,,,Break,fri,,yes
0:20:00,2019-09-27 14:00,2019-09-27 14:20,Andrew Katz,Moorcrofts LLP/CERN,Open Hardware Licensing,fri,"            <p>
              Presenting the latest updates in open source hardware licensing, including
              <a href=""https://www.ohwr.org/project/cernohl/wikis/CERN-OHL-v2-draft"" target=""_blank"">CERN OHL v2</a>
              and the future governance of <a href=""https://solderpad.org/licenses/"" target=""_blank"">Solderpad</a>.
              
            </p>
          <h6>Presenter: Andrew Katz</h6>
          <p>
	    Andrew Katz is a partner at <a href=""https://www.moorcrofts.com/""
					   target=""_blank"">Moorcrofts LLP</a>, a boutique
	    law firm in England's
	    Thames Valley and advises a wide range of businesses on free and open source
	    related issues. He has lectured and published widely on the subject and is a
	    founder editor of the International Free and Open Source Software Law Review.
	    Before becoming a solicitor, he trained as a barrister, and moonlighted as a
	    programmer during his studies at Bar School, programming in Turbo Pascal. He
	    has released software under the GPL.
          </p>
",
0:20:00,2019-09-27 14:20,2019-09-27 14:40,Audience participation,,Open Hardware Licensing,fri,,yes
0:10:00,2019-09-27 14:40,2019-09-27 14:50,,,Break,fri,,
0:20:00,2019-09-27 14:50,2019-09-27 15:10,Calista Redmond,RISC-V Foundation,"The Momentum and Opportunity of Custom, Open Source Processing",fri,"           <p>

             The growth of human and business interaction with
             technology continues to explode. At the literal heart of
             that technology sits a silicon core, combined with
             general and specific instructions and connections. The
             insane cost, risk, development time, necessary volumes,
             and limited computing demands kept the lucrative chip
             opportunity within reach of just a handful of companies
             -- focused mostly on general purpose processors. New
             computing needs in various power and performance
             dimensions have increased demand and competition for
             custom processors. This pressure is quietly and rapidly
             disrupting the processor industry. An Open source
             approach to processors now reduces risk and investment,
             with accelerated time to market, and opens the
             opportunity to thousands of possible custom
             processors. Learn about the trends, opportunities, and
             examples -- from smart watches to supercomputers -- as
             well as the global momentum of RISC-V!

           </p>
	   <h6>Presenter: <a href=""https://twitter.com/calista_redmond"" target=""_blank"">Calista Redmond</a></h6>
	   <p>

	     Calista Redmond is the CEO of
	     the <a href=""https://riscv.org"">RISC-V Foundation</a>
	     with a mission to expand and engage RISC-V stakeholders,
	     compel industry adoption, and increase visibility and
	     opportunity for RISC-V within and beyond the
	     Foundation. Prior to the RISC-V Foundation, Calista held
	     a variety of roles at IBM, including Vice President of
	     IBM Z Ecosystem where she led strategic relationships
	     across software vendors, system integrators, business
	     partners, developer communities, and broader engagement
	     across the industry.

	   </p>
",
0:20:00,2019-09-27 15:10,2019-09-27 15:30,Anton Blanchard,IBM,Microwatt - A simple Open POWER soft processor,fri,"Microwatt is a simple Open POWER soft processor released on github in late August. It grew out of a desire to show something interesting at a recent announcement by IBM regarding the opening up of the POWER ISA.

By the time of the conference, it will have been in the open for just over a month. This talk will detail a bit of the history behind Microwatt, recent progress, some of the challenges as well as future plans.

Presenter: Anton Blanchard

Anton Blanchard works at IBM where he spends his time on Linux and Open Source software, and very recently Open Source hardware.
",
0:30:00,2019-09-27 15:30,2019-09-27 16:00,,,Break,fri,,
0:20:00,2019-09-27 16:00,2019-09-27 16:20,Sergey Smolov,ISP RAS,Open-source model checkers: Ready for the industry?,fri,"              <p>
                Open source penetrates the microelectronics design, making hardware development more accessible.
                To leverage this effect, one needs open CAD tools, including formal verification facilities.
                The talk is concentrated on an experimental comparison of several open-source model checkers
                for Verilog modules on open benchmarks. For selected tools Verilog support and property checking
                facilities were evaluated on typical designs and industrial-scale modules. This talk also
                briefly describes <a href=""https://forge.ispras.ru/projects/retrascope""
                                     target=""_blank"">Retrascope</a>
                - a new open-source model checker that verifies Verilog descriptions
                against SVA properties. The toolkit allows analyzing of HDL descriptions,
                reconstructing and visualization of the underlying models and using the derived models
                for test generation and property checking.
              </p>
          <h6>Presenter: Sergey Smolov</h6>
              <p>
                Sergey Smolov is junior researcher of Programming Technology Department of Ivannikov
                Institute for System Programming of the Russian Academy of Sciences. He received the
                bachelor's degree in 2008 and master's degree in 2010 both from Moscow Institute of
                Physics and Technology (MIPT). His research interests include microprocessors
                modeling and functional verification.
              </p>
",
